filtered,count,pos
data,1987,NNS
experience,418,NN
analysis,215,NN
years,215,NNS
business,179,NN
analytics,117,NNS
working,117,VBG
analyst,114,NN
quality,107,NN
systems,101,NNS
analyze,100,NN
sql,97,NN
reporting,95,NN
management,83,NN
support,83,NN
team,78,NN
using,78,VBG
tools,76,NNS
work,71,NN
sources,70,NNS
skills,70,NNS
sets,69,NNS
including,68,VBG
large,66,JJ
insights,63,NNS
reports,63,NNS
visualization,61,NN
develop,59,VB
complex,58,JJ
ability,55,NN
5,54,CD
new,52,JJ
perform,52,NN
strong,51,JJ
research,50,NN
role,50,NN
ensure,50,VB
provide,49,NN
identify,48,VB
advanced,47,JJ
related,47,JJ
analyzing,45,VBG
understanding,44,VBG
knowledge,44,NN
required,44,VBN
analytical,43,JJ
drive,42,NN
analysts,40,NNS
tableau,40,NN
modeling,40,VBG
build,39,NN
teams,38,NNS
minimum,38,NN
product,38,NN
process,37,NN
detail,37,NN
processes,37,NNS
help,37,NN
use,36,NN
within,36,IN
engineering,36,NN
multiple,36,NN
science,34,NN
bi,34,NN
attention,34,NN
create,34,NN
3,34,CD
technical,33,JJ
models,33,NNS
various,33,JJ
collection,33,NN
dashboards,32,NNS
excel,32,NN
internal,32,JJ
solutions,31,NNS
etl,30,NN
requirements,30,NNS
5-Mar,30,JJ
report,29,NN
mining,29,NN
requests,29,NNS
responsible,29,JJ
maintain,28,NN
system,28,NN
accuracy,28,NN
2+,28,CD
field,28,NN
stakeholders,28,NNS
actionable,27,JJ
marketing,27,NN
key,27,NN
problems,26,NNS
collect,26,NN
needs,26,NNS
must,26,MD
manage,26,NN
database,26,NN
preferred,25,VBN
position,25,NN
performance,25,NN
developing,25,VBG
manipulation,25,NN
statistical,25,JJ
information,24,NN
quantitative,24,NN
across,24,IN
governance,23,NN
3+,23,CD
assist,23,NN
building,23,NN
customer,23,NN
design,22,NN
development,22,NN
data-driven,22,JJ
entry,22,NN
warehouse,22,NN
test,22,NN
software,22,NN
master,22,NN
issues,22,NNS
integrity,22,NN
degree,21,NN
health,21,NN
pipelines,21,NNS
primary,21,NN
expert,21,NN
proficiency,21,NN
relevant,21,NN
closely,21,RB
ad,21,NN
equivalent,20,NN
metrics,20,NNS
high,20,JJ
understand,20,NN
eg,20,NN
2,20,CD
make,20,VB
failure,20,NN
asset,20,NN
financial,20,JJ
candidate,19,NN
well,19,RB
statistics,19,NNS
familiarity,19,NN
environment,19,NN
analyses,19,NNS
partners,19,NNS
conduct,19,NN
projects,19,NNS
via,19,IN
databases,19,NNS
operations,19,NNS
making,19,VBG
-,19,:
platforms,19,NNS
control,19,NN
queries,18,NNS
learning,18,VBG
writing,18,VBG
performs,18,NNS
existing,18,VBG
plus,18,CC
techniques,18,NNS
meet,17,NN
investigate,17,NN
partner,17,NN
analytic,17,JJ
validation,17,NN
focus,17,NN
procedures,17,NNS
client,17,NN
etc,17,NN
hoc,17,NN
intelligence,16,NN
healthcare,16,NN
project,16,NN
technology,16,NN
translate,16,NN
functional,16,JJ
visualizations,16,NNS
able,16,JJ
solving,16,VBG
present,16,NN
combination,16,NN
warehousing,16,VBG
days,16,NNS
expertise,16,NN
sales,15,NNS
python,15,NN
presentation,15,NN
r,15,NN
decisions,15,NNS
comfort,15,NN
andor,15,NN
extract,15,NN
years,14,NN
efforts,14,NNS
managing,14,VBG
cross-functional,14,JJ
level,14,NN
trends,14,NNS
mapping,14,NN
products,14,NNS
market,14,NN
collaborate,14,NN
results,14,NNS
processing,14,NN
least,13,JJS
problem,13,NN
automated,13,VBN
concepts,13,NNS
effective,13,JJ
comfortable,13,JJ
recommendations,13,NNS
engineers,13,NNS
improve,13,VB
findings,13,NNS
risk,13,NN
demonstrated,13,VBN
querying,13,VBG
provides,13,VBZ
prepare,12,NN
based,12,VBN
variety,12,NN
programming,12,VBG
questions,12,NNS
five,12,CD
check,12,NN
services,12,NNS
ongoing,12,VBG
document,12,NN
datasets,12,NNS
secondary,12,JJ
improvements,12,NNS
user,12,NN
digital,12,NN
different,12,JJ
external,11,JJ
raw,11,NN
decision,11,NN
5+,11,CD
3-Feb,11,JJ
looking,11,VBG
ideal,11,NN
gathering,11,NN
excellent,11,NN
include,11,NN
program,11,NN
practices,11,NNS
source,11,NN
highly,11,RB
training,11,NN
records,11,NNS
company,11,NN
initiatives,11,NNS
similar,11,JJ
deep,10,NN
designing,10,VBG
strategy,10,NN
write,10,NN
supporting,10,VBG
strategic,10,JJ
access,10,NN
errors,10,NNS
thinking,10,VBG
consulting,10,VBG
subject,10,NN
creates,10,NNS
coordinate,10,NN
year,10,NN
opportunities,10,NNS
service,10,NN
leverage,10,NN
architecture,10,NN
matter,10,NN
methods,10,NNS
lead,10,NN
review,10,NN
interpret,10,NN
3-Jan,10,JJ
office,10,NN
senior,10,JJ
integration,10,NN
maintains,10,NNS
also,10,RB
power,10,NN
potential,10,JJ
good,10,JJ
conducting,9,VBG
testing,9,VBG
apply,9,VB
qualitative,9,NN
programs,9,NNS
produce,9,NN
accurate,9,NN
predictive,9,NN
microsoft,9,NN
analyzes,9,NNS
monitoring,9,NN
customers,9,NNS
needed,9,VBN
tracking,9,VBG
plan,9,NN
refreshes,9,NNS
thresholds,9,NNS
finance,9,NN
regular,9,JJ
time,9,NN
order,9,NN
organization,9,NN
conversion,9,NN
maintenance,9,NN
flow,9,NN
deliverables,9,NNS
tables,9,NNS
background,9,NN
bachelor's,9,NN
audits,9,NNS
implementation,9,NN
scalable,9,JJ
improvement,9,NN
infrastructure,9,NN
education,9,NN
driven,9,NN
utilizing,9,VBG
acquire,9,VB
job,9,NN
determine,9,NN
areas,9,NNS
interpreting,9,VBG
economics,8,NNS
seeking,8,VBG
manipulating,8,VBG
providing,8,VBG
gaps,8,NNS
general,8,JJ
specifications,8,NNS
structure,8,NN
especially,8,RB
communicate,8,NN
communication,8,NN
hands-on,8,NN
works,8,NNS
checks,8,NNS
implement,8,NN
resources,8,NNS
people,8,NNS
consultant,8,NN
passion,8,NN
relationships,8,NNS
organizational,8,JJ
survey,8,NN
dictionary,8,JJ
end,8,NN
4+,8,CD
monitor,8,NN
extraction,8,NN
ad-hoc,8,NN
used,8,VBN
changes,8,NNS
warehouses,8,NNS
applications,8,NNS
activities,8,NNS
documentation,7,NN
documenting,7,VBG
demonstrate,7,NN
like,7,IN
together,7,RB
google,7,NN
individual,7,JJ
combine,7,NN
global,7,JJ
three,7,CD
cases,7,NNS
specific,7,JJ
organization's,7,NN
one,7,CD
enterprise,7,NN
platform,7,NN
plans,7,NNS
leveraging,7,VBG
updates,7,NNS
1,7,CD
leading,7,VBG
opportunity,7,NN
develops,7,NNS
tasks,7,NNS
staff,7,NN
paid,7,NN
standard,7,NN
technologies,7,NNS
record,7,NN
prior,7,RB
interface,7,NN
users,7,NNS
wide,7,JJ
pull,7,NN
clean,7,NN
cleaning,7,NN
define,7,NN
cleansing,7,VBG
manipulate,7,NN
tool,7,NN
includes,7,VBZ
meaningful,7,NN
years',7,NN
clinical,7,JJ
overall,7,JJ
assigned,7,VBN
enhance,7,NN
capabilities,7,NNS
hands,7,NNS
delivering,7,VBG
enable,7,JJ
need,6,NN
model,6,NN
graphs,6,NN
decision-making,6,NN
units,6,NNS
repetitive,6,NN
capitation,6,NN
detailed,6,JJ
applying,6,VBG
creating,6,VBG
solve,6,NN
inventory,6,NN
designs,6,NNS
solution,6,NN
timely,6,RB
monthly,6,RB
gather,6,NN
account,6,NN
resolution,6,NN
members,6,NNS
solid,6,JJ
resolve,6,NN
date,6,NN
appropriate,6,NN
views,6,NNS
organize,6,VB
understands,6,NNS
levels,6,NNS
college,6,NN
collects,6,NNS
structured,6,VBN
preparation,6,NN
validate,6,NN
aggregate,6,NN
innovative,6,JJ
domain,6,NN
engineer,6,NN
employment,6,NN
current,6,JJ
administrator,6,NN
proven,6,NN
supervision,6,NN
public,6,NN
effectively,6,RB
uses,6,NNS
pulling,6,VBG
purposes,6,NNS
interpretation,6,NN
evaluate,6,NN
big,6,JJ
unstructured,6,JJ
initiative,6,NN
associated,6,VBN
fluency,6,NN
complete,6,JJ
compiles,6,NNS
part,6,NN
ingestion,6,NN
leads,6,NNS
turning,6,VBG
correct,6,NN
data-related,6,JJ
joining,6,VBG
language,6,NN
data;,6,NN
take,6,VB
story,6,NN
server,5,NN
debugging,5,VBG
sharing,5,VBG
shape,5,NN
data:,5,NN
cadence,5,NN
including:,5,NN
tests,5,NNS
incumbent,5,NN
set,5,NN
setting,5,VBG
campaign,5,NN
stored,5,VBN
ie,5,NN
exceptional,5,JJ
fields,5,NNS
become,5,NN
us,5,PRP
eye,5,NN
extracts,5,NNS
direct,5,JJ
exists,5,NNS
validates,5,NNS
storytelling,5,VBG
acquisition,5,NN
identifying,5,VBG
ensuring,5,VBG
8,5,CD
engagement,5,NN
employee,5,NN
summarize,5,VB
drawing,5,VBG
either,5,DT
efficient,5,NN
duties,5,NNS
filter,5,NN
basic,5,JJ
find,5,VB
fine,5,NN
skill,5,NN
ideally,5,RB
huge,5,JJ
automate,5,NN
automation,5,NN
growth,5,NN
5%,5,CD
update,5,NN
specialist,5,NN
depth,5,NN
derive,5,NN
generating,5,VBG
ba,5,NN
sql-based,5,JJ
detail-oriented,5,JJ
forms,5,NNS
forecasting,5,NN
focused,5,VBN
flows,5,NNS
self-service,5,NN
third,5,JJ
operational,5,JJ
responsibilities,5,NNS
complexity,5,NN
compliance,5,NN
concentration,5,NN
conclusions,5,NNS
assess,5,NN
objects,5,NNS
consistency,5,NN
consolidate,5,NN
transforming,5,VBG
amounts,5,NNS
necessary,5,JJ
consumers,5,NNS
content,5,NN
transform,5,NN
you,5,NN
modelling,5,VBG
media,5,NNS
may,5,MD
relational,5,NN
passionate,5,NN
manages,5,NNS
weeks,5,NNS
uncover,5,NN
query,5,NN
clients,5,NNS
close,5,RB
ucla,5,NN
proficient,5,NN
professional,5,JJ
productivity,5,NN
proactively,5,RB
competencies*,5,NN
challenges,5,NNS
accurately,5,RB
policies,5,NNS
community,5,NN
pi,5,NN
regarding,5,VBG
performing,5,VBG
payments,5,NNS
action,5,NN
brings,5,NNS
critical,5,JJ
looker,5,NN
around,5,IN
security,5,NN
capable,5,JJ
liaison,5,NN
area,5,NN
scale,5,NN
leave,5,VB
scientists,5,NNS
scripts,5,NNS
manager,5,NN
leadership,5,NN
search,5,NN
6,4,CD
algorithms,4,NN
know,4,VB
better,4,RBR
points,4,NNS
pm,4,NN
please,4,NN
play,4,NN
exploratory,4,NN
"best""",4,NN
experimental,4,NN
best,4,JJS
evaluation,4,NN
exploring,4,VBG
extracting,4,VBG
way,4,NN
pipeline,4,NN
extreme,4,NN
4,4,CD
behavior,4,NN
policy,4,NN
preparing,4,VBG
popular,4,JJ
emphasis,4,NN
ecommerce,4,NN
"""""full-stack""""",4,NN
qa,4,NN
investments,4,NNS
additional,4,JJ
internally,4,RB
involves,4,NNS
proper,4,NN
electronic,4,JJ
ip,4,NN
advancement,4,NN
profiling,4,VBG
powerhouse,4,NN
supports,4,NNS
assisting,4,VBG
"""expert",4,NN
real-world,4,NN
enhancing,4,VBG
jira,4,NN
principles,4,NNS
previous,4,JJ
studies,4,NNS
structures,4,NNS
file,4,NN
warehousessql,4,NN
identifies,4,NNS
files,4,NNS
generate,4,NN
literacy,4,NN
respond,4,NN
specifically,4,RB
sas,4,NN
logic,4,NN
sick,4,NN
multi-dimensional,4,JJ
significant,4,JJ
government,4,NN
retrieval,4,NN
logical,4,JJ
in-depth,4,NN
available,4,JJ
group,4,NN
imports,4,NNS
impact,4,NN
anomalies,4,NNS
methodologies,4,NNS
reviews,4,NNS
answer,4,NN
vendor,4,NN
