filtered,count,pos
data,24,NNS
analyst,4,NN
reporting,3,NN
sql,2,NN
experience,2,NN
and…,2,NN
analyze,2,NN
analytics,2,NNS
analysis,2,NN
requirements,2,NNS
reports,2,NNS
entry,2,NN
use,2,NN
including,2,VBG
proficiency,2,NN
degree,2,NN
primary,1,NN
purchase,1,NN
patient,1,NN
periodical,1,JJ
python,1,NN
potentially,1,RB
pull,1,NN
practices,1,NNS
problematic,1,JJ
professional,1,JJ
preferably,1,RB
procedures,1,NNS
partner,1,NN
preparing,1,VBG
&,1,CC
part,1,NN
monthly,1,RB
make,1,VB
manage,1,NN
manipulation,1,NN
massive,1,JJ
master's,1,NN
mathematics,1,NNS
microsoft,1,NN
mortgage,1,NN
or…,1,NN
motion,1,NN
new,1,JJ
noisy,1,NN
often,1,RB
ongoing,1,VBG
operations,1,NNS
qualitative,1,NN
orders,1,NNS
recommendations,1,NNS
quality,1,NN
understanding,1,VBG
streams,1,NNS
suite,1,NN
system,1,NN
systems,1,NNS
teams,1,NNS
techniques,1,NNS
time,1,NN
utilized,1,JJ
stock,1,NN
via,1,IN
weekly,1,JJ
within,1,IN
word,1,NN
work,1,NN
year,1,NN
years,1,NNS
streamline,1,NN
specialist,1,NN
quantitative,1,NN
replenishment,1,NN
quarterly,1,RB
realize,1,VB
job,1,NN
reference,1,NN
regulations,1,NNS
relationships…,1,NN
repetitive,1,NN
requests,1,NNS
sources,1,NNS
research,1,NN
responsibilities,1,NNS
responsible,1,JJ
seeking,1,VBG
services…,1,NN
servicing,1,VBG
setting,1,VBG
lead,1,NN
insights,1,NNS
interpreting,1,VBG
business,1,NN
assess,1,NN
assist,1,NN
assisting,1,VBG
away,1,RB
bachelor's,1,NN
best,1,JJS
building,1,NN
cerner,1,NN
applications,1,NNS
changing,1,VBG
clinical,1,JJ
collection,1,NN
company,1,NN
confidential,1,NN
continuously,1,RB
contributed,1,VBD
arm,1,NN
application,1,NN
creates,1,NNS
added,1,VBD
1-3,1,JJ
ability,1,NN
abstraction,1,NN
academic,1,JJ
accounting,1,NN
accuracy,1,NN
actionable,1,JJ
additional,1,JJ
analyzing,1,VBG
address…,1,NN
administrator,1,NN
advanced,1,JJ
advancement,1,NN
advantage,1,NN
also,1,RB
analyses,1,NNS
corrections,1,NNS
creating,1,VBG
interpret,1,NN
hand,1,NN
excel,1,NN
excel…,1,NN
experienced,1,JJ
external,1,JJ
frequent,1,NN
gather,1,NN
gathering,1,NN
handle,1,NN
ensure…,1,NN
help,1,NN
identify,1,VB
include:,1,NN
industrypaid,1,NN
1,1,CD
integral,1,JJ
internal,1,JJ
equivalent,1,NN
emergency,1,NN
credit…,1,NN
device,1,NN
cross-functional,1,JJ
css,1,NN
currently,1,RB
daily,1,JJ
database,1,NN
determine,1,NN
develop…,1,NN
directions,1,NNS
elicit,1,NN
directly,1,RB
director,1,NN
documentation,1,NN
domain,1,NN
economics,1,NNS
effectiveness,1,NN
efforts,1,NNS
ymca,1,NN
